Customer_1,B*rstards who take pleasure in harrasing disabled people,"As a disabled person in an empty branch, they told me to walk on crutches all around the snaked area to get to the furthest till. I complained and they said tuff, so I reported to them to the disability communities and banking ombudsman, who asked for the CCTV footage. BANK_NAME said their CCTV was not working that day! A Bank that does not have CCTV functioning. You can bet if I held them up the CCTV would be available. Sadistic S***s "
Customer_10,BANK_NAME -  dont bother as they have little regard for customers,Bad customer service in branch and not enough counters. You want that 121 service from a human not a machine Also steer clear of BANK_NAME Finance biggest pack of Con merchants I have ever had the misfortune to come across
Customer_100, I visited the Bognor Regis BANK_NAME … ," I visited the Bognor Regis BANK_NAME Branch today to pay in a sum of cash (£920) into my wifes account. As she works from home and isn't often able to get out I quite often take her debit card and pay into her account using one of the machines. This morning the machine didnt seem to be working properly. I tried twice and both times the money was returned with a receipt saying the transacton had been cancelled. I walked away from the machine with the intention of paying in at the counter. After a few minutes I noticed I hadn't received my wifes card back from the machine. I was unaware if the card had been taken or left in the machine. I can imagine during this time a few other customers had used the machine so I panicked a little unsure of whether the card had been swallowed or possibly removed by a different customer. There was a member of customer service staff, Linda Murray, assisting customers so when she had finished I told her the situation. I was still a little panicked at the time but when I was less than halfway through explaining the situation she told me extremely bluntly I couldn't get the card back because it was in my wifes name. I completely understand this and think that is obviously the correct procedure in stopping fraud etc. but the customer service from then on I thought was awful. She was unaware if the machine had taken the card or if it had been removed by a customer but very bluntly said the card will be cancelled"". Without taking my wifes (or my name) how could she cancel the card if it hadn't been taken by the machine ?. She gave me no advice on what I should do from that point"
Customer_101, Abysmal business service ," Abysmal business service. If you are a business then don't use them. We have been trying to process an international payment recall and we keep chasing them for the money - they just fob us off with excuses. On top of that all of a sudden today our account has been suspended for no apparent reason - they won't contact the MD of the company, I can't lodge a complaint because in order to lodge a complaint you have to go into the branch itself apparently (very convenient) and they are totally unhelpful quite frankly. They are the ones who have created the problem and we are supposed to run around after they make a mistake. "
Customer_102, Disgusting company ," I have company account with BANK_NAME and got a business loan with them when I was very new in business. I desperately needed the loan to expand my company. I was really naive and didn't realise how much I would have to pay back. The loan was for 25k and is guaranteed by me and my business partner. I have been paying the loan off for 3 years and 4 months at 670 pound per month. In total I have paid back 26,800 but still have 14k left to pay. I take responsibility but I didn't think BANK_NAME's would offer such disgusting deals. Shameful and they won't let me change the deal even though I have never missed or made a late payment. "
Customer_103, Rubbish service , Rubbish service. Been with BANK_NAME for over 10 years. Nothing ever went wrong and now suddenly my account has been blocked. Rang and asked for an explanation was told to visit my branch. Went there and was told to contact a number contacted that number and was told to wait to 2 weeks maximum as it was an internal investigation. So waited. Now 4th week and no one can tell me anything. Such a rubbish service. Closing my account down and taking this to social media. 
Customer_104, Poor treatment by bereavement centre. , Contacted bank regarding account my late sister had with them. Branch unable to trace account. The spoke to bereavement centre. Wrote letters and emails with no reply. Now  4 months later all i know that the account was closed and money transferred to an account in my wifes name. Wouldnt supply details of account number or value because of data protection!! So glad i dont have an account with them! 
Customer_105, Unsatisfactory customer service , Unsatisfactory customer service. Very slow responses to online banking messages (much slower than advised response times) and absolutely no desire to resolve my problem. 
Customer_106, Complete knobheads ," Complete knobheads, lost 130 pounds on international payment. When calling the phone, in the end was told to go to a branch, when gone there told me to call the nr. Thankfully didn't send any more at the time but basically they didn't care and kept sending me somewhere else. "
Customer_107, Be prepared to waste a lot of your time.. ," I've been to the Uxbridge branch to open a joint account with 2 cards attached and to opening a EUR account. I sat there with the personal banker for about an hour and he assured me that everything is done and that they'll get it done in 3-4 working days. After one week of waiting with no updates, I started calling them and I've been told that none of those requests gone through and that I need to go back to the branch and ask for the same things again. Tried getting a new appointment now and they only have slots available mid December for Saturdays. This is unacceptable from a bank this size. Go to MetroBank and get the card on the spot with no hustle. Shame! "
